CNPJ,Nome fornecedor,,,
61156501000156,MOSAIC FERTILIZANTES LTDA,,,
61156501008050,MOSAIC FERTILIZANTES DO BRASIL SA,,,
61156501002108,MOSAIC FERTILIZANTES DO BRASIL S/A,,,
61156501007240,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
61156501009021,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
61156501008645,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
61156501020777,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
61156501020696,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
61156501010542,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
33931486002001,MOSAIC FERTILIZANTES PEK LTDA,,,
33931486001021,MOSAIC FERTILIZANTES PEK LTDA,,,
33931486003318,MOSAIC FERTILIZANTES PEK LTDA,,,
33931486001960,MOSAIC FERTILIZANTES PEK LTDA,,,
61156501009293,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
61156501011352,MOSAIC FERTILIZANTES DO BRASIL,,,
61156501011514,MOSAIC FERTILIZANTES DO BRASIL,,,
61156501011786,MOSAIC FERTILIZANTES DO BRASIL,,,
33931486000807,MOSAIC FERTILIZANTES PEK S A,,,
61156501010976,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
33931486000998,MOSAIC FERTILIZANTES PEK S A,,,
33931486001455,MOSAIC FERTILIZANTES PEK S A,,,
33931486002184,MOSAIC FERTILIZANTES PEK S A,,,
61156501011000,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
33931486000130,MOSAIC FERTILIZANTES P E K LTDA,,,
33931486000564,MOSAIC FERTILIZANTES P E K LTDA,,,
61156501009960,MOSAIC FERTILIZANTES DO BRASIL LTDA,,,
26108898000703,CMOC BRASIL MINERACAO INDUSTRIA,,,
26108898000290,CMOC BRASIL MINERACAO INDUSTRIA,,,
26108898000100,CMOC BRASIL MINERACAO INDUSTRIA E,,,
78937158000856,FERTILIZANTES PIRATINI LTDA,,,
78937158000180,FERTILIZANTES PIRATINI LTDA,,,
78937158000260,FERTILIZANTES PIRATINI LTDA,,,
90810706000101,FERTIPAR FERTILIZANTES DO PARANA,,,
90810706000373,FERTIPAR FERTILIZANTES DO PARANA,,,
90810706002902,FERTIPAR FERTILIZANTES DO PARANA LT,,,
90810706002406,FERTIPAR FERTILIZANTES DO PARANA,,,
90810706002821,FERTIPAR FERTILIZANTES DO PARANA,,,
90810706002236,FERTIPAR FERTILIZANTES DO PARANA LT,,,
90810706000292,FERTIPAR FERTILIZANTES PARANA LTDA,,,
90810706003984,FERTIPAR FERTILIZANTES DO PARANÁ LT,,,
9384948000162,FERTIPAR FERTILIZANTES,,,
9384948000405,FERTIPAR FERTILIZANTES DO MATO,,,
26419229000159,DREYMOOR BRASIL COM DE,,,
84828003000370,COONAGRO COOPERATIVA NACIONAL,,,
84828003000108,COONAGRO COOPERATIVA NACIONAL,,,
84828003000701,COONAGRO COOPERATIVA NACIONAL,,,
53400818000168,FERTIGRAN FERTILIZANTES VALE,,,
53400818000834,FERTIGRAN FERTILIZANTES VALE,,,
53400818001300,FERTIGRAN FERTILIZANTES VALE,,,
18105959000580,OCP FERTILIZANTES LTDA,,,
18105959000742,OCP FERTILIZANTES LTDA,,,
18105959000157,OCP FERTILIZANTES LTDA,,,
18105959000238,OCP FERTILIZANTES LTDA,,,
26369016000160,RIO BRAVO MINERACAO E METALURGIA,,,
60398138000112,ICL AMERICA DO SUL S A,,,
60398138000384,ICL AMERICA DO SUL S A,,,
60398138000465,ICL AMERICA DO SUL S A,,,
60398138000899,ICL AMERICA DO SUL S A,,,
60398138001356,ICL AMERICA DO SUL S A,,,
3353785000506,ICL BRASIL LTDA,,,
60398138000546,ICL AMERICA DO SUL S A,,,
60398138001518,ICL AMERICA DO SUL S A,,,
87249561000107,UNIFERTIL UNIVERSAL,,,
87249561001936,UNIFERTIL UNIVERSAL,,,
92660604001316,YARA BRASIL FERTILIZANTES S A,,,
92660604002983,YARA BRASIL FERTILIZANTES S A,,,
92660604011540,YARA BRASIL FERTILIZANTES S A,,,
92660604000182,YARA BRASIL FERTILIZANTES S A,,,
92660604011036,YARA BRASIL FERTILIZANTES S A,,,
92660604009805,YARA BRASIL FERTILIZANTES S A,,,
92660604011974,YARA BRASIL FERTILIZANTES S A,,,
92660604013080,YARA BRASIL FERTILIZANTES S A,,,
92660604012865,YARA BRASIL FERTILIZANTES S A,,,
92660604000263,YARA BRASIL FERTILIZANTES S A,,,
92660604013594,YARA BRASIL FERTILIZANTES S A,,,
92660604002800,YARA BRASIL FERTILIZANTES S A,,,
92660604011893,YARA BRASIL FERTILIZANTES S A,,,
92660604015708,YARA BRASIL FERTILIZANTES S A,,,
92660604015880,YARA BRASIL FERTILIZANTES S A,,,
92660604014485,YARA BRASIL FERTILIZANTES S A,,,
92660604014213,YARA BRASIL FERTILIZANTES S A,,,
92660604015457,YARA BRASIL FERTILIZANTES S A,,,
92660604013756,YARA BRASIL FERTILIZANTES S A,,,
92660604014728,YARA BRASIL FERTILIZANTES S A,,,
92660604014132,YARA BRASIL FERTILIZANTES S A,,,
92660604013837,YARA BRASIL FERTILIZANTES S A,,,
92660604016429,YARA BRASIL FERTILIZANTES S A,,,
92660604013241,YARA BRASIL FERTILIZANTES S A,,,
92660604017581,YARA BRASIL FERTILIZANTES S A,,,
12759673000109,BRFERTIL S A,,,
12759673000370,BRFERTIL S A,,,
01201578002708,MULTITRANS TRANSPORTES E ARMAZENS,,,
01201578003275,MULTITRANS TRANSPORTES E ARMAZENS,,,
01201578000250,MULTITRANS TRANSPORTES E ARMAZENS,,,
01201578002899,MULTITRANS TRANSPORTES E ARMAZENS,,,
01201578002384,MULTITRANS TRANSPORTES E ARMAZENS,,,
29107425000186,AEC33 ARMAZENS GERAIS S A,,,
02227264000884,ANDALI S A,,,
84828003000370,COONAGRO COOPERATIVA NACIONAL,,,
58128174003806,COMPANHIA BANDEIRANTES DE ARMAZENS,,,
16716929000151,EQUILIBRIO FERTILIZANTES LTDA,,,
20825138000137,FAZ ARMAZENS GERAIS LTDA,,,
81716144000574,ROCHA TERMINAIS PORTUARIOS E LOGISTICA,,,
80276314000150,FORTESOLO SERVICOS INTEGRADOS S A,,,
15673711000102,FERTISERVICE SERVICOS LOGISTICOS,,,
73312548000140,GRANELMAR LOGISTICA E ARMAZENS,,,
26756350000257,ONNO LOGISTICA LTDA,,,
09604396000150,TERMINAIS DO SUL ARMAZENS GERAIS,,,
85041333000111,TERMINAIS PORTUARIOS DA PONTA,,,
85041333000111,ARMAZENS GERAIS VICTORIA LTDA,,,
85041333000111,NOVATEX ARMAZENS GERAIS LTDA,,,
16716929000313,EQUILIBRIO FERTILIZANTES LTDA,,,
12759673000109,BRFERTIL S A,,,
12759673000370,BRFERTIL S A,,,
87249561002070,UNIFERTIL - UNIVERSAL DE FERTILIZANTES LTDA,,,
14031191000406,HINOVE,,,
10688602000137,SHERLOCK PRODUTOS DE SEGURANCA LTDA,,,
02417230000186,PACKEM SA,,,
04311391000116,TEIXEIRA TEXTIL INDUSTRIA E COM,,,
82270281000167,POLIJUTA INDUSTRIA E COMERCIO DE,,,
00763251000128,RAFITEC S A INDUSTRIA E COMERCIO DE,,,
07988186000188,TECH LABEL INDUSTRIA DE ROTULOS,,,
18268146000188,ARMAZENS GERAIS VICTORIA LTDA,,,
29819557000130,GHS ARMAZENS GERAIS,,,
00117842001280,CIBRAFERTIL COMPANHIA BRASILEIRA,,,
53386683000123,FERTALVO,,,
81716144002437,ROCHA TERMINAIS PORTUARIOS E LOGISTICA,,,
2227264001007,ANDALI GO,,,
96825575001780,INTERMARITIMA,,,
1201578000250,MULTITRANS TRANSPORTES E ARMAZENS,,,
1201578001140,MULTITRANS UBERABA,,,
6225292000147,TERLOC,,,
81716144001031,ROCHA TERMINAIS PORTUARIOS E LOGISTICA,,,
20094607000276,MV FOSFATO,,,
87249561002070,UNIFERTIL,,,
47036511000127,SKYCHEM,,,
26419229000310,DREYMOOR BRASIL COM DE,,,
9608037000929,OUROFERTIL,,,
78937158000856,PIRATINI,,,
53664782000120,MAVI ,,,
22446278000472,campo rico,,,
2119258000218,Fertipar,,,
